Linke Hand	Rechte Hand	Linker Arm	Rechter Arm	Linke Schulter	Rechte Schulter	Nacken	Kopf	Brust	Bauch	Steiss	Linker Oberschenkel	Rechter Oberschenkel	Linkes Schienbein	Rechtes Schienbein	Linke Wade	Rechte Wade	Linker Fuss	Rechter Fuss	Zeh	Ruecken	Genital	Nein
1	0.4545454545	0.9090909091	0.5454545455	0.8181818182	0.6363636364	0.7272727273	0.6363636364	0.6363636364	0.5454545455	0.4545454545	0.3636363636	0.3636363636	0.2727272727	0.2727272727	0.1818181818	0.1818181818	0.0909090909	0.0909090909	0	0.6363636364	0.3636363636	0
0.4545454545	1	0.4545454545	0.9090909091	0.5454545455	0.8181818182	0.7272727273	0.6363636364	0.6363636364	0.5454545455	0.4545454545	0.3636363636	0.3636363636	0.2727272727	0.2727272727	0.1818181818	0.1818181818	0.0909090909	0.0909090909	0	0.6363636364	0.3636363636	0
0.9090909091	0.4545454545	1	0.6363636364	0.9090909091	0.7272727273	0.8181818182	0.7272727273	0.7272727273	0.6363636364	0.5454545455	0.4545454545	0.4545454545	0.3636363636	0.3636363636	0.2727272727	0.2727272727	0.1818181818	0.1818181818	0.0909090909	0.7272727273	0.4545454545	0
0.5454545455	0.9090909091	0.6363636364	1	0.7272727273	0.9090909091	0.8181818182	0.7272727273	0.7272727273	0.6363636364	0.5454545455	0.4545454545	0.4545454545	0.3636363636	0.3636363636	0.2727272727	0.2727272727	0.1818181818	0.1818181818	0.0909090909	0.7272727273	0.4545454545	0
0.8181818182	0.5454545455	0.9090909091	0.7272727273	1	0.8181818182	0.9090909091	0.8181818182	0.8181818182	0.7272727273	0.6363636364	0.5454545455	0.5454545455	0.4545454545	0.4545454545	0.3636363636	0.3636363636	0.2727272727	0.2727272727	0.1818181818	0.8181818182	0.5454545455	0
0.6363636364	0.8181818182	0.7272727273	0.9090909091	0.8181818182	1	0.9090909091	0.8181818182	0.8181818182	0.7272727273	0.6363636364	0.5454545455	0.5454545455	0.4545454545	0.4545454545	0.3636363636	0.3636363636	0.2727272727	0.2727272727	0.1818181818	0.8181818182	0.5454545455	0
0.7272727273	0.7272727273	0.8181818182	0.8181818182	0.9090909091	0.9090909091	1	0.9090909091	0.9090909091	0.8181818182	0.7272727273	0.6363636364	0.6363636364	0.5454545455	0.5454545455	0.4545454545	0.4545454545	0.3636363636	0.3636363636	0.2727272727	0.9090909091	0.6363636364	0
0.6363636364	0.6363636364	0.7272727273	0.7272727273	0.8181818182	0.8181818182	0.9090909091	1	0.8181818182	0.7272727273	0.6363636364	0.5454545455	0.5454545455	0.4545454545	0.4545454545	0.3636363636	0.3636363636	0.2727272727	0.2727272727	0.1818181818	0.8181818182	0.5454545455	0
0.6363636364	0.6363636364	0.7272727273	0.7272727273	0.8181818182	0.8181818182	0.9090909091	0.8181818182	1	0.9090909091	0.8181818182	0.7272727273	0.7272727273	0.6363636364	0.6363636364	0.5454545455	0.5454545455	0.4545454545	0.4545454545	0.3636363636	0.9090909091	0.7272727273	0
0.5454545455	0.5454545455	0.6363636364	0.6363636364	0.7272727273	0.7272727273	0.8181818182	0.7272727273	0.9090909091	1	0.9090909091	0.8181818182	0.8181818182	0.7272727273	0.7272727273	0.6363636364	0.6363636364	0.5454545455	0.5454545455	0.4545454545	0.9090909091	0.8181818182	0
0.4545454545	0.4545454545	0.5454545455	0.5454545455	0.6363636364	0.6363636364	0.7272727273	0.6363636364	0.8181818182	0.9090909091	1	0.9090909091	0.9090909091	0.8181818182	0.8181818182	0.7272727273	0.7272727273	0.6363636364	0.6363636364	0.5454545455	0.9090909091	0.9090909091	0
0.3636363636	0.3636363636	0.4545454545	0.4545454545	0.5454545455	0.5454545455	0.6363636364	0.5454545455	0.7272727273	0.8181818182	0.9090909091	1	0.8181818182	0.9090909091	0.7272727273	0.8181818182	0.6363636364	0.7272727273	0.5454545455	0.6363636364	0.8181818182	0.8181818182	0
0.3636363636	0.3636363636	0.4545454545	0.4545454545	0.5454545455	0.5454545455	0.6363636364	0.5454545455	0.7272727273	0.8181818182	0.9090909091	0.8181818182	1	0.7272727273	0.9090909091	0.6363636364	0.8181818182	0.5454545455	0.7272727273	0.6363636364	0.8181818182	0.8181818182	0
0.2727272727	0.2727272727	0.3636363636	0.3636363636	0.4545454545	0.4545454545	0.5454545455	0.4545454545	0.6363636364	0.7272727273	0.8181818182	0.9090909091	0.7272727273	1	0.6363636364	0.9090909091	0.5454545455	0.8181818182	0.4545454545	0.7272727273	0.7272727273	0.7272727273	0
0.2727272727	0.2727272727	0.3636363636	0.3636363636	0.4545454545	0.4545454545	0.5454545455	0.4545454545	0.6363636364	0.7272727273	0.8181818182	0.7272727273	0.9090909091	0.6363636364	1	0.5454545455	0.9090909091	0.4545454545	0.8181818182	0.7272727273	0.7272727273	0.7272727273	0
0.1818181818	0.1818181818	0.2727272727	0.2727272727	0.3636363636	0.3636363636	0.4545454545	0.3636363636	0.5454545455	0.6363636364	0.7272727273	0.8181818182	0.6363636364	0.9090909091	0.5454545455	1	0.4545454545	0.9090909091	0.3636363636	0.8181818182	0.6363636364	0.6363636364	0
0.1818181818	0.1818181818	0.2727272727	0.2727272727	0.3636363636	0.3636363636	0.4545454545	0.3636363636	0.5454545455	0.6363636364	0.7272727273	0.6363636364	0.8181818182	0.5454545455	0.9090909091	0.4545454545	1	0.3636363636	0.9090909091	0.8181818182	0.6363636364	0.6363636364	0
0.0909090909	0.0909090909	0.1818181818	0.1818181818	0.2727272727	0.2727272727	0.3636363636	0.2727272727	0.4545454545	0.5454545455	0.6363636364	0.7272727273	0.5454545455	0.8181818182	0.4545454545	0.9090909091	0.3636363636	1	0.2727272727	0.9090909091	0.5454545455	0.5454545455	0
0.0909090909	0.0909090909	0.1818181818	0.1818181818	0.2727272727	0.2727272727	0.3636363636	0.2727272727	0.4545454545	0.5454545455	0.6363636364	0.5454545455	0.7272727273	0.4545454545	0.8181818182	0.3636363636	0.9090909091	0.2727272727	1	0.9090909091	0.5454545455	0.5454545455	0
0	0	0.0909090909	0.0909090909	0.1818181818	0.1818181818	0.2727272727	0.1818181818	0.3636363636	0.4545454545	0.5454545455	0.6363636364	0.6363636364	0.7272727273	0.7272727273	0.8181818182	0.8181818182	0.9090909091	0.9090909091	1	0.4545454545	0.4545454545	0
0.6363636364	0.6363636364	0.7272727273	0.7272727273	0.8181818182	0.8181818182	0.9090909091	0.8181818182	0.9090909091	0.9090909091	0.9090909091	0.8181818182	0.8181818182	0.7272727273	0.7272727273	0.6363636364	0.6363636364	0.5454545455	0.5454545455	0.4545454545	1	0.8181818182	0
0.3636363636	0.3636363636	0.4545454545	0.4545454545	0.5454545455	0.5454545455	0.6363636364	0.5454545455	0.7272727273	0.8181818182	0.9090909091	0.8181818182	0.8181818182	0.7272727273	0.7272727273	0.6363636364	0.6363636364	0.5454545455	0.5454545455	0.4545454545	0.8181818182	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
